State,FIPS,Q1_r47_p,Q1_r47_p_se
"Total U.S., private sector",,65.15,0.35
Alabama,01,61.26,1.42
Alaska,02,64.0,1.21
Arizona,04,62.7,1.64
Arkansas,05,57.77,1.56
California,06,72.71,1.69
Colorado,08,63.42,1.71
Connecticut,09,64.77,1.47
Delaware,10,66.73,1.58
District of Columbia,11,62.2,2.01
Florida,12,68.61,1.6
Georgia,13,63.95,1.74
Hawaii,15,67.47,1.36
Idaho,16,57.32,1.55
Illinois,17,69.95,1.69
Indiana,18,63.63,1.55
Iowa,19,59.53,1.42
Kansas,20,61.82,1.44
Kentucky,21,59.64,1.57
Louisiana,22,66.71,1.48
Maine,23,57.24,1.44
Maryland,24,66.38,1.56
Massachusetts,25,63.76,1.74
Michigan,26,64.13,1.6
Minnesota,27,61.34,1.52
Mississippi,28,54.82,1.52
Missouri,29,63.79,1.43
Montana,30,60.46,1.56
Nebraska,31,59.8,1.44
Nevada,32,62.84,1.66
New Hampshire,33,61.51,1.55
New Jersey,34,68.23,1.6
New Mexico,35,61.8,1.58
New York,36,66.38,1.81
North Carolina,37,61.62,1.56
North Dakota,38,60.99,1.53
Ohio,39,62.03,1.49
Oklahoma,40,64.17,1.37
Oregon,41,62.47,1.54
Pennsylvania,42,65.48,1.59
Puerto Rico,72,62.74,1.24
Rhode Island,44,62.73,1.55
South Carolina,45,62.53,1.57
South Dakota,46,52.95,1.36
Tennessee,47,61.11,1.44
Texas,48,64.05,1.8
Utah,49,61.43,1.79
Vermont,50,61.03,1.6
Virginia,51,62.89,1.62
Washington,53,65.6,1.5
West Virginia,54,64.19,1.43
Wisconsin,55,62.44,1.56
Wyoming,56,60.72,1.66
