State,FIPS,Q1_r50_p,Q1_r50_p_se
"Total U.S., private sector",,21.35,0.29
Alabama,01,15.03,0.95
Alaska,02,25.96,1.07
Arizona,04,16.62,1.11
Arkansas,05,8.8,0.65
California,06,23.12,1.53
Colorado,08,22.26,1.34
Connecticut,09,18.8,1.12
Delaware,10,18.52,1.19
District of Columbia,11,26.72,1.74
Florida,12,17.52,1.16
Georgia,13,16.36,1.11
Hawaii,15,29.18,1.23
Idaho,16,16.66,1.03
Illinois,17,18.47,1.1
Indiana,18,17.42,1.05
Iowa,19,14.23,0.79
Kansas,20,13.86,0.84
Kentucky,21,20.48,1.17
Louisiana,22,20.37,1.13
Maine,23,19.78,1.0
Maryland,24,23.01,1.28
Massachusetts,25,25.03,1.49
Michigan,26,36.07,1.49
Minnesota,27,19.14,1.13
Mississippi,28,15.67,1.06
Missouri,29,13.17,0.93
Montana,30,19.35,1.08
Nebraska,31,11.26,0.76
Nevada,32,23.17,1.32
New Hampshire,33,17.21,1.23
New Jersey,34,25.27,1.45
New Mexico,35,26.62,1.34
New York,36,32.24,1.69
North Carolina,37,16.91,1.11
North Dakota,38,9.24,0.71
Ohio,39,22.41,1.21
Oklahoma,40,13.09,0.81
Oregon,41,20.07,1.05
Pennsylvania,42,35.13,1.48
Puerto Rico,72,52.63,1.27
Rhode Island,44,19.45,1.22
South Carolina,45,13.76,0.93
South Dakota,46,6.83,0.56
Tennessee,47,16.43,0.97
Texas,48,18.23,1.2
Utah,49,11.73,0.97
Vermont,50,32.86,1.47
Virginia,51,15.11,1.13
Washington,53,31.39,1.28
West Virginia,54,20.25,1.08
Wisconsin,55,18.79,0.93
Wyoming,56,11.02,0.77
