State,FIPS,Q1_r46_p,Q1_r46_p_se
"Total U.S., private sector",,40.92,0.32
Alabama,01,43.46,1.35
Alaska,02,45.14,1.22
Arizona,04,39.08,1.45
Arkansas,05,46.17,1.41
California,06,41.75,1.57
Colorado,08,36.45,1.4
Connecticut,09,41.1,1.32
Delaware,10,40.66,1.47
District of Columbia,11,22.18,1.46
Florida,12,37.8,1.51
Georgia,13,39.48,1.55
Hawaii,15,33.09,1.21
Idaho,16,43.74,1.36
Illinois,17,39.26,1.65
Indiana,18,41.37,1.39
Iowa,19,44.23,1.28
Kansas,20,42.4,1.3
Kentucky,21,39.39,1.37
Louisiana,22,39.89,1.46
Maine,23,45.25,1.37
Maryland,24,42.0,1.46
Massachusetts,25,40.5,1.52
Michigan,26,43.56,1.48
Minnesota,27,40.42,1.3
Mississippi,28,45.35,1.51
Missouri,29,42.36,1.34
Montana,30,43.86,1.4
Nebraska,31,45.04,1.41
Nevada,32,37.28,1.44
New Hampshire,33,43.82,1.56
New Jersey,34,42.99,1.67
New Mexico,35,39.02,1.36
New York,36,37.86,1.58
North Carolina,37,42.05,1.44
North Dakota,38,40.98,1.34
Ohio,39,43.31,1.34
Oklahoma,40,44.79,1.31
Oregon,41,45.99,1.44
Pennsylvania,42,42.72,1.46
Puerto Rico,72,43.35,1.2
Rhode Island,44,39.22,1.47
South Carolina,45,40.94,1.47
South Dakota,46,41.76,1.21
Tennessee,47,41.47,1.33
Texas,48,40.75,1.57
Utah,49,37.86,1.5
Vermont,50,44.27,1.44
Virginia,51,37.06,1.43
Washington,53,42.88,1.37
West Virginia,54,44.88,1.38
Wisconsin,55,44.46,1.42
Wyoming,56,40.45,1.34
