State,FIPS,Q3_r1_p,Q3_r1_p_se,Q3_r1_estab,Q3_r1_estab_se,Q3_r1_pemp,Q3_r1_pemp_se,Q3_r1_emp,Q3_r1_emp_se
"Total U.S., private sector",,51.25,0.43,2184303.0,23343.0,56.22,0.41,43538873.0,501133.0
Alabama,01,64.26,1.6,33241.0,1143.0,63.82,1.71,599009.0,25640.0
Alaska,02,48.58,1.43,4789.0,158.0,54.13,2.86,78731.0,6901.0
Arizona,04,57.8,1.86,39459.0,1619.0,58.85,2.45,811603.0,51855.0
Arkansas,05,53.64,1.83,17743.0,673.0,58.6,2.67,329308.0,20416.0
California,06,42.46,2.59,244638.0,16901.0,53.65,1.72,5298083.0,252288.0
Colorado,08,54.72,1.95,51604.0,2029.0,57.16,2.31,783006.0,50697.0
Connecticut,09,48.13,1.63,25527.0,989.0,52.87,1.97,495564.0,22514.0
Delaware,10,49.96,2.42,6429.0,294.0,53.93,3.65,115935.0,13980.0
District of Columbia,11,54.37,2.29,7179.0,355.0,54.82,3.99,175066.0,18552.0
Florida,12,62.44,1.84,195644.0,7789.0,64.36,1.95,3037001.0,160070.0
Georgia,13,56.21,1.8,64662.0,2622.0,60.33,2.34,1390247.0,81839.0
Hawaii,15,44.27,1.63,9035.0,342.0,49.18,2.11,173528.0,10304.0
Idaho,16,54.39,1.75,14884.0,556.0,59.91,1.94,220355.0,9697.0
Illinois,17,53.05,1.89,85809.0,3711.0,55.35,2.12,1819609.0,98534.0
Indiana,18,56.19,1.64,40995.0,1501.0,58.87,1.74,990829.0,43713.0
Iowa,19,54.4,1.57,22739.0,782.0,65.23,1.8,484226.0,25965.0
Kansas,20,61.09,1.67,20541.0,687.0,59.38,2.33,384970.0,25736.0
Kentucky,21,47.26,1.71,23695.0,974.0,52.29,2.34,498357.0,34011.0
Louisiana,22,58.99,1.46,36641.0,1209.0,63.24,1.76,638692.0,24688.0
Maine,23,46.77,1.55,10221.0,373.0,55.9,2.29,168193.0,13832.0
Maryland,24,53.07,1.78,41512.0,1691.0,57.78,1.99,765828.0,42114.0
Massachusetts,25,46.98,1.97,50989.0,2443.0,56.05,2.59,1167235.0,85121.0
Michigan,26,40.81,1.6,55521.0,2399.0,49.07,2.42,1388313.0,86809.0
Minnesota,27,45.91,1.74,32655.0,1357.0,50.59,2.5,785865.0,58227.0
Mississippi,28,65.79,1.59,18799.0,697.0,60.33,2.38,286207.0,20869.0
Missouri,29,56.51,1.72,40801.0,1661.0,56.88,2.0,791717.0,44634.0
Montana,30,48.57,1.71,10074.0,385.0,57.01,1.51,131463.0,4667.0
Nebraska,31,60.42,1.78,15977.0,551.0,67.09,1.97,293967.0,19940.0
Nevada,32,50.39,1.76,19628.0,803.0,53.23,2.85,467953.0,34492.0
New Hampshire,33,47.54,1.72,11078.0,477.0,48.56,2.61,170377.0,14410.0
New Jersey,34,42.93,1.65,57184.0,2450.0,49.37,2.16,1089701.0,66577.0
New Mexico,35,51.73,1.65,12496.0,434.0,57.84,1.97,233965.0,13027.0
New York,36,42.32,1.73,130308.0,6063.0,52.05,1.74,2626082.0,162515.0
North Carolina,37,49.68,1.74,56892.0,2452.0,54.78,2.26,1119179.0,64245.0
North Dakota,38,55.63,1.8,6675.0,262.0,62.08,1.52,124153.0,4271.0
Ohio,39,47.59,1.51,63989.0,2607.0,49.33,2.35,1461808.0,99932.0
Oklahoma,40,62.85,1.67,28679.0,959.0,63.95,2.04,491813.0,22220.0
Oregon,41,44.59,1.6,29530.0,1177.0,47.99,1.79,497505.0,24824.0
Pennsylvania,42,44.53,1.54,84897.0,3271.0,54.11,1.77,1935908.0,85013.0
Puerto Rico,72,54.16,1.09,17088.0,402.0,64.64,2.04,316092.0,13179.0
Rhode Island,44,43.6,1.68,8186.0,357.0,45.28,1.71,118790.0,6841.0
South Carolina,45,56.9,1.76,29753.0,1159.0,60.51,2.0,594293.0,37168.0
South Dakota,46,60.79,1.63,7493.0,260.0,65.0,1.55,118176.0,5388.0
Tennessee,47,55.6,1.64,39951.0,1473.0,61.52,1.64,902892.0,48742.0
Texas,48,60.93,1.79,185088.0,7594.0,61.78,2.18,3754079.0,206178.0
Utah,49,54.48,1.95,24798.0,1026.0,59.84,2.24,414666.0,24760.0
Vermont,50,43.01,1.44,5437.0,190.0,54.35,1.81,95953.0,4449.0
Virginia,51,53.92,1.89,47383.0,2158.0,53.52,1.86,843732.0,52136.0
Washington,53,44.63,1.53,45795.0,1730.0,53.45,2.17,1046684.0,57330.0
West Virginia,54,46.7,1.51,10037.0,361.0,48.72,2.98,157743.0,16168.0
Wisconsin,55,47.85,1.63,34793.0,1284.0,52.14,1.88,786584.0,39086.0
Wyoming,56,53.23,1.82,5343.0,196.0,59.27,1.78,67838.0,2937.0
