State,FIPS,Q4_r24_p,Q4_r24_p_se
"Total U.S., private sector",,69.79,0.56
Alabama,01,80.38,2.28
Alaska,02,61.69,2.44
Arizona,04,73.94,2.89
Arkansas,05,68.38,2.92
California,06,65.49,2.78
Colorado,08,72.09,2.45
Connecticut,09,70.39,2.86
Delaware,10,73.49,2.91
District of Columbia,11,74.1,3.7
Florida,12,73.95,3.18
Georgia,13,70.17,2.42
Hawaii,15,80.62,1.7
Idaho,16,70.33,2.64
Illinois,17,73.18,2.3
Indiana,18,77.41,2.69
Iowa,19,77.42,1.93
Kansas,20,75.02,2.36
Kentucky,21,72.71,2.43
Louisiana,22,71.28,2.82
Maine,23,69.95,2.75
Maryland,24,76.22,2.09
Massachusetts,25,65.69,3.16
Michigan,26,66.75,2.88
Minnesota,27,70.88,2.81
Mississippi,28,75.21,2.09
Missouri,29,73.59,2.58
Montana,30,64.53,2.45
Nebraska,31,73.47,2.57
Nevada,32,69.4,2.38
New Hampshire,33,74.97,3.19
New Jersey,34,64.91,3.02
New Mexico,35,63.96,2.38
New York,36,62.41,2.85
North Carolina,37,67.52,2.55
North Dakota,38,73.26,2.44
Ohio,39,68.47,2.85
Oklahoma,40,74.56,2.71
Oregon,41,66.18,2.74
Pennsylvania,42,70.47,1.73
Puerto Rico,72,70.32,1.87
Rhode Island,44,69.55,2.57
South Carolina,45,77.28,2.3
South Dakota,46,72.93,2.56
Tennessee,47,76.81,2.0
Texas,48,64.51,2.16
Utah,49,70.95,4.54
Vermont,50,61.36,3.07
Virginia,51,73.48,2.81
Washington,53,73.15,2.1
West Virginia,54,69.3,1.84
Wisconsin,55,71.77,2.5
Wyoming,56,67.65,3.09
