State,FIPS,Q7_r1_p,Q7_r1_p_se,Q7_r1_estab,Q7_r1_estab_se,Q7_r1_pemp,Q7_r1_pemp_se,Q7_r1_emp,Q7_r1_emp_se
"Total U.S., private sector",,62.13,0.28,5252610.0,23796.0,58.77,0.43,74219443.0,538929.0
Alabama,01,67.47,1.26,74846.0,1398.0,59.94,2.06,972438.0,33408.0
Alaska,02,61.77,0.96,11873.0,185.0,60.98,2.43,152027.0,6068.0
Arizona,04,59.96,1.26,90975.0,1917.0,53.84,2.18,1351364.0,54666.0
Arkansas,05,63.05,1.09,47043.0,817.0,59.51,1.87,607860.0,19070.0
California,06,60.1,1.5,611189.0,15253.0,57.9,1.78,8512827.0,261801.0
Colorado,08,58.35,1.21,112938.0,2347.0,62.92,2.28,1453221.0,52675.0
Connecticut,09,65.92,1.17,66220.0,1175.0,58.43,1.79,838845.0,25685.0
Delaware,10,59.59,1.4,16005.0,375.0,56.99,1.88,220973.0,7283.0
District of Columbia,11,55.1,1.41,16639.0,426.0,47.97,2.93,257696.0,15758.0
Florida,12,64.22,1.33,409555.0,8479.0,63.85,2.48,4980874.0,193077.0
Georgia,13,61.19,1.2,148938.0,2919.0,58.53,1.99,2254972.0,76608.0
Hawaii,15,67.47,1.02,25769.0,391.0,64.73,1.63,344706.0,8703.0
Idaho,16,59.97,1.09,36032.0,654.0,59.3,1.87,375516.0,11866.0
Illinois,17,65.6,1.29,212149.0,4185.0,63.03,1.77,3282396.0,91921.0
Indiana,18,61.17,1.13,94422.0,1737.0,52.62,1.82,1415123.0,49047.0
Iowa,19,63.5,1.0,58406.0,922.0,56.76,2.22,742704.0,29102.0
Kansas,20,64.38,1.02,49388.0,781.0,59.81,2.4,686282.0,27578.0
Kentucky,21,61.3,1.13,61883.0,1145.0,57.24,1.67,916476.0,26771.0
Louisiana,22,66.48,1.14,74474.0,1279.0,65.86,1.54,1062518.0,24825.0
Maine,23,62.78,1.02,27839.0,454.0,67.09,2.11,349181.0,10991.0
Maryland,24,62.3,1.23,96056.0,1898.0,55.99,2.19,1233602.0,48201.0
Massachusetts,25,63.91,1.36,127298.0,2701.0,58.16,2.73,1836336.0,86135.0
Michigan,26,63.38,1.25,138667.0,2725.0,65.27,3.04,2461111.0,114773.0
Minnesota,27,62.27,1.14,90847.0,1659.0,54.71,1.73,1375030.0,43483.0
Mississippi,28,66.76,1.17,42217.0,737.0,60.5,2.3,546069.0,20747.0
Missouri,29,63.29,1.21,99394.0,1902.0,55.73,1.94,1325391.0,46242.0
Montana,30,56.64,1.07,25669.0,483.0,66.95,2.03,259548.0,7865.0
Nebraska,31,65.85,1.05,40626.0,647.0,58.98,2.18,482590.0,17797.0
Nevada,32,61.26,1.21,47334.0,932.0,57.08,3.52,711591.0,43848.0
New Hampshire,33,62.53,1.2,30217.0,580.0,60.79,2.15,353645.0,12479.0
New Jersey,34,61.97,1.24,143281.0,2860.0,59.54,1.74,2072640.0,60557.0
New Mexico,35,56.65,1.03,27831.0,504.0,58.86,1.64,386045.0,10739.0
New York,36,59.3,1.35,314349.0,7133.0,54.65,2.36,4414257.0,190273.0
North Carolina,37,59.07,1.17,151305.0,2991.0,55.03,2.03,2088569.0,76961.0
North Dakota,38,65.22,1.1,18237.0,309.0,60.63,1.32,213808.0,4654.0
Ohio,39,63.58,1.17,170189.0,3139.0,58.25,2.29,2746413.0,108058.0
Oklahoma,40,65.79,1.08,64370.0,1061.0,62.95,1.64,818070.0,21348.0
Oregon,41,57.71,1.08,76181.0,1426.0,59.86,2.11,996458.0,35110.0
Pennsylvania,42,62.98,1.19,206036.0,3906.0,58.37,1.69,3061858.0,88764.0
Puerto Rico,72,66.11,0.89,29154.0,393.0,69.03,1.69,469079.0,11494.0
Rhode Island,44,62.76,1.24,21811.0,431.0,63.97,2.52,270723.0,10684.0
South Carolina,45,61.4,1.16,74609.0,1406.0,59.76,1.49,1062260.0,26456.0
South Dakota,46,66.05,1.0,20232.0,305.0,62.17,1.6,221350.0,5684.0
Tennessee,47,64.27,1.1,96219.0,1651.0,55.96,1.73,1462407.0,45186.0
Texas,48,63.09,1.3,406022.0,8355.0,58.7,1.97,6271161.0,210132.0
Utah,49,57.23,1.22,57175.0,1223.0,54.72,1.79,704070.0,23079.0
Vermont,50,58.86,1.04,13490.0,238.0,62.4,1.4,160223.0,3601.0
Virginia,51,60.89,1.25,128549.0,2635.0,59.82,2.29,1908735.0,72931.0
Washington,53,61.0,1.1,112627.0,2035.0,55.19,2.17,1562185.0,61378.0
West Virginia,54,59.97,1.07,24812.0,444.0,59.39,3.08,327580.0,16987.0
Wisconsin,55,65.88,1.03,97993.0,1528.0,60.37,1.91,1504418.0,47647.0
Wyoming,56,57.58,1.07,13233.0,246.0,63.72,1.55,134225.0,3261.0
