State,FIPS,Q3_r20_p,Q3_r20_p_se
"Total U.S., private sector",,58.67,0.5
Alabama,01,72.47,1.91
Alaska,02,56.93,1.92
Arizona,04,65.97,1.95
Arkansas,05,61.64,2.27
California,06,49.58,2.71
Colorado,08,62.26,2.56
Connecticut,09,52.76,2.16
Delaware,10,56.6,2.69
District of Columbia,11,56.92,3.21
Florida,12,72.19,2.13
Georgia,13,68.12,2.03
Hawaii,15,48.74,2.08
Idaho,16,62.44,2.0
Illinois,17,62.07,2.16
Indiana,18,63.57,2.19
Iowa,19,61.07,1.97
Kansas,20,68.79,1.81
Kentucky,21,55.81,2.18
Louisiana,22,66.37,1.83
Maine,23,54.39,2.01
Maryland,24,60.21,2.11
Massachusetts,25,51.98,2.68
Michigan,26,48.1,2.18
Minnesota,27,54.21,2.23
Mississippi,28,74.0,1.79
Missouri,29,61.9,2.17
Montana,30,58.54,2.33
Nebraska,31,68.52,1.81
Nevada,32,57.57,2.18
New Hampshire,33,55.1,2.34
New Jersey,34,50.27,2.39
New Mexico,35,60.7,2.21
New York,36,49.78,2.16
North Carolina,37,55.87,2.72
North Dakota,38,60.64,2.35
Ohio,39,50.98,1.92
Oklahoma,40,70.88,2.19
Oregon,41,51.06,2.14
Pennsylvania,42,52.36,2.23
Puerto Rico,72,61.67,1.4
Rhode Island,44,49.84,2.16
South Carolina,45,66.02,2.25
South Dakota,46,70.26,1.82
Tennessee,47,62.18,2.19
Texas,48,67.02,2.35
Utah,49,62.32,3.0
Vermont,50,51.05,2.12
Virginia,51,60.89,2.27
Washington,53,52.18,1.92
West Virginia,54,58.73,2.01
Wisconsin,55,53.95,1.93
Wyoming,56,62.61,2.37
