State,FIPS,Q2_r62_p,Q2_r62_p_se
"Total U.S., private sector",,79.51,0.55
Alabama,01,81.36,3.33
Alaska,02,76.76,1.86
Arizona,04,80.66,2.5
Arkansas,05,80.87,3.29
California,06,78.19,2.8
Colorado,08,74.43,3.67
Connecticut,09,76.04,2.68
Delaware,10,80.75,2.63
District of Columbia,11,66.55,2.88
Florida,12,85.68,2.44
Georgia,13,79.45,2.65
Hawaii,15,79.98,2.07
Idaho,16,73.39,2.53
Illinois,17,80.39,1.99
Indiana,18,79.51,3.25
Iowa,19,78.29,3.7
Kansas,20,68.55,2.37
Kentucky,21,75.52,3.27
Louisiana,22,83.97,2.29
Maine,23,77.25,2.78
Maryland,24,77.49,2.68
Massachusetts,25,78.37,2.55
Michigan,26,85.09,1.67
Minnesota,27,78.47,3.49
Mississippi,28,87.95,1.74
Missouri,29,75.25,2.79
Montana,30,80.97,2.43
Nebraska,31,79.74,3.4
Nevada,32,82.58,2.28
New Hampshire,33,78.12,2.79
New Jersey,34,81.18,2.91
New Mexico,35,78.94,2.27
New York,36,75.6,2.34
North Carolina,37,78.67,3.08
North Dakota,38,57.57,3.67
Ohio,39,79.82,2.94
Oklahoma,40,87.44,2.91
Oregon,41,75.66,2.64
Pennsylvania,42,80.41,1.59
Puerto Rico,72,91.31,0.79
Rhode Island,44,83.21,2.92
South Carolina,45,85.45,2.94
South Dakota,46,69.04,3.83
Tennessee,47,74.73,2.56
Texas,48,81.77,2.54
Utah,49,60.66,3.55
Vermont,50,80.34,2.46
Virginia,51,77.19,3.71
Washington,53,79.88,1.92
West Virginia,54,86.86,1.79
Wisconsin,55,86.77,1.91
Wyoming,56,83.42,2.69
