State,FIPS,Q3_r71_p,Q3_r71_p_se
"Total U.S., private sector",,54.11,0.37
Alabama,01,49.08,1.41
Alaska,02,56.74,1.37
Arizona,04,48.88,1.67
Arkansas,05,43.13,1.5
California,06,57.55,1.87
Colorado,08,51.87,1.67
Connecticut,09,54.9,1.58
Delaware,10,56.82,1.62
District of Columbia,11,49.49,1.99
Florida,12,50.98,1.8
Georgia,13,50.66,1.57
Hawaii,15,61.23,1.36
Idaho,16,51.7,1.61
Illinois,17,53.52,1.68
Indiana,18,51.6,1.56
Iowa,19,49.88,1.4
Kansas,20,45.94,1.47
Kentucky,21,53.33,1.61
Louisiana,22,59.28,1.56
Maine,23,50.84,1.43
Maryland,24,56.57,1.6
Massachusetts,25,57.02,1.74
Michigan,26,65.37,1.64
Minnesota,27,49.73,1.52
Mississippi,28,47.58,1.51
Missouri,29,49.62,1.58
Montana,30,50.56,1.59
Nebraska,31,43.48,1.4
Nevada,32,57.44,1.66
New Hampshire,33,50.4,1.59
New Jersey,34,61.3,1.75
New Mexico,35,55.04,1.57
New York,36,61.05,1.82
North Carolina,37,48.31,1.63
North Dakota,38,45.01,1.56
Ohio,39,54.83,1.53
Oklahoma,40,48.14,1.39
Oregon,41,55.81,1.51
Pennsylvania,42,62.18,1.6
Puerto Rico,72,72.29,1.16
Rhode Island,44,59.29,1.63
South Carolina,45,47.63,1.52
South Dakota,46,42.26,1.34
Tennessee,47,51.21,1.48
Texas,48,50.67,1.78
Utah,49,44.92,1.77
Vermont,50,58.85,1.53
Virginia,51,47.25,1.66
Washington,53,61.66,1.57
West Virginia,54,54.71,1.58
Wisconsin,55,52.29,1.46
Wyoming,56,47.42,1.7
