State,FIPS,Q1_r53_p,Q1_r53_p_se
"Total U.S., private sector",,29.31,0.38
Alabama,01,32.49,1.81
Alaska,02,36.03,1.54
Arizona,04,27.87,1.65
Arkansas,05,32.13,1.7
California,06,26.35,1.99
Colorado,08,22.4,1.4
Connecticut,09,27.35,1.49
Delaware,10,28.2,1.51
District of Columbia,11,13.58,1.35
Florida,12,31.33,1.94
Georgia,13,30.02,1.64
Hawaii,15,25.03,1.75
Idaho,16,31.63,1.45
Illinois,17,30.14,1.88
Indiana,18,32.54,1.62
Iowa,19,31.43,1.54
Kansas,20,26.35,1.35
Kentucky,21,31.81,1.56
Louisiana,22,29.36,1.92
Maine,23,32.0,1.56
Maryland,24,26.06,1.52
Massachusetts,25,28.24,2.03
Michigan,26,35.39,1.71
Minnesota,27,32.0,1.58
Mississippi,28,30.95,2.16
Missouri,29,33.39,1.64
Montana,30,32.39,1.48
Nebraska,31,29.91,1.55
Nevada,32,28.39,1.6
New Hampshire,33,27.33,1.55
New Jersey,34,28.85,1.74
New Mexico,35,28.8,1.39
New York,36,29.93,1.97
North Carolina,37,28.14,1.45
North Dakota,38,30.09,1.61
Ohio,39,32.59,1.65
Oklahoma,40,30.3,1.6
Oregon,41,32.2,1.41
Pennsylvania,42,29.82,1.54
Puerto Rico,72,36.16,1.8
Rhode Island,44,27.4,1.59
South Carolina,45,28.23,1.54
South Dakota,46,31.11,1.53
Tennessee,47,27.43,1.58
Texas,48,25.45,1.64
Utah,49,27.76,1.65
Vermont,50,33.99,1.41
Virginia,51,32.61,1.63
Washington,53,31.22,1.57
West Virginia,54,31.24,1.45
Wisconsin,55,31.59,1.51
Wyoming,56,31.06,1.42
