State,FIPS,Q3_r22_p,Q3_r22_p_se
"Total U.S., private sector",,37.6,0.57
Alabama,01,49.09,3.15
Alaska,02,32.12,2.22
Arizona,04,42.05,2.81
Arkansas,05,42.84,2.86
California,06,24.77,2.75
Colorado,08,42.51,2.62
Connecticut,09,35.86,2.67
Delaware,10,37.99,2.21
District of Columbia,11,52.01,3.5
Florida,12,46.31,2.64
Georgia,13,38.49,2.61
Hawaii,15,27.68,2.45
Idaho,16,36.96,2.77
Illinois,17,36.84,2.82
Indiana,18,38.37,2.5
Iowa,19,39.21,2.24
Kansas,20,44.82,2.67
Kentucky,21,32.11,2.49
Louisiana,22,43.46,2.71
Maine,23,31.02,2.46
Maryland,24,42.25,2.57
Massachusetts,25,37.72,3.26
Michigan,26,30.01,2.38
Minnesota,27,31.77,2.57
Mississippi,28,51.34,2.49
Missouri,29,47.89,2.83
Montana,30,36.8,2.39
Nebraska,31,43.51,2.69
Nevada,32,37.35,2.79
New Hampshire,33,36.88,2.65
New Jersey,34,29.58,2.52
New Mexico,35,36.91,2.11
New York,36,34.39,2.79
North Carolina,37,37.83,2.62
North Dakota,38,50.76,2.81
Ohio,39,40.02,2.44
Oklahoma,40,45.14,2.56
Oregon,41,35.83,2.54
Pennsylvania,42,29.02,2.3
Puerto Rico,72,40.63,1.86
Rhode Island,44,29.39,2.78
South Carolina,45,40.31,3.01
South Dakota,46,41.67,2.63
Tennessee,47,44.85,3.09
Texas,48,49.36,2.84
Utah,49,44.34,2.61
Vermont,50,29.21,2.08
Virginia,51,40.37,2.93
Washington,53,31.16,2.08
West Virginia,54,29.85,2.2
Wisconsin,55,31.75,2.36
Wyoming,56,39.55,2.82
