State,FIPS,Q4_r26_p,Q4_r26_p_se
"Total U.S., private sector",,56.17,0.68
Alabama,01,65.14,3.77
Alaska,02,38.67,3.89
Arizona,04,58.75,3.51
Arkansas,05,56.81,3.29
California,06,51.43,3.77
Colorado,08,60.0,3.56
Connecticut,09,57.43,3.45
Delaware,10,65.64,2.72
District of Columbia,11,66.72,3.39
Florida,12,54.15,2.65
Georgia,13,56.07,3.3
Hawaii,15,67.59,2.69
Idaho,16,51.51,3.46
Illinois,17,61.56,3.31
Indiana,18,61.24,3.22
Iowa,19,56.67,3.07
Kansas,20,55.63,3.24
Kentucky,21,59.09,3.57
Louisiana,22,58.94,3.09
Maine,23,52.58,2.7
Maryland,24,51.7,3.05
Massachusetts,25,66.43,3.05
Michigan,26,46.02,3.06
Minnesota,27,50.97,3.08
Mississippi,28,59.55,3.66
Missouri,29,65.24,2.37
Montana,30,45.03,3.68
Nebraska,31,64.48,3.65
Nevada,32,52.73,3.13
New Hampshire,33,56.92,3.22
New Jersey,34,51.28,3.1
New Mexico,35,56.42,2.76
New York,36,47.78,3.05
North Carolina,37,60.97,3.51
North Dakota,38,61.64,2.4
Ohio,39,60.67,2.99
Oklahoma,40,54.37,3.9
Oregon,41,53.88,3.08
Pennsylvania,42,58.86,2.63
Puerto Rico,72,45.36,2.68
Rhode Island,44,53.3,3.15
South Carolina,45,54.59,3.52
South Dakota,46,64.09,3.03
Tennessee,47,59.58,2.86
Texas,48,63.87,2.76
Utah,49,55.14,3.58
Vermont,50,48.36,2.54
Virginia,51,53.96,3.63
Washington,53,47.62,2.45
West Virginia,54,57.14,3.04
Wisconsin,55,61.21,3.23
Wyoming,56,49.97,3.18
