State,FIPS,Q2_r63_p,Q2_r63_p_se
"Total U.S., private sector",,54.07,0.36
Alabama,01,49.05,1.2
Alaska,02,55.23,1.12
Arizona,04,48.51,1.3
Arkansas,05,46.44,1.17
California,06,60.98,2.28
Colorado,08,51.38,1.33
Connecticut,09,55.28,1.24
Delaware,10,50.79,1.35
District of Columbia,11,45.53,1.51
Florida,12,52.0,1.38
Georgia,13,49.02,1.3
Hawaii,15,56.97,1.2
Idaho,16,46.97,1.12
Illinois,17,52.52,1.43
Indiana,18,52.71,1.2
Iowa,19,49.27,1.08
Kansas,20,49.09,1.09
Kentucky,21,50.36,1.27
Louisiana,22,58.07,1.29
Maine,23,50.59,1.13
Maryland,24,53.51,1.29
Massachusetts,25,56.05,1.5
Michigan,26,61.94,1.47
Minnesota,27,49.71,1.27
Mississippi,28,48.85,1.28
Missouri,29,50.49,1.31
Montana,30,47.51,1.15
Nebraska,31,46.27,1.08
Nevada,32,54.36,1.31
New Hampshire,33,49.6,1.27
New Jersey,34,61.59,1.37
New Mexico,35,51.05,1.15
New York,36,61.49,1.47
North Carolina,37,50.71,1.27
North Dakota,38,48.81,1.17
Ohio,39,52.89,1.24
Oklahoma,40,49.2,1.17
Oregon,41,52.62,1.19
Pennsylvania,42,56.74,1.39
Puerto Rico,72,71.98,1.27
Rhode Island,44,56.23,1.3
South Carolina,45,46.67,1.18
South Dakota,46,44.23,1.02
Tennessee,47,50.52,1.21
Texas,48,52.09,1.43
Utah,49,48.09,1.3
Vermont,50,56.15,1.19
Virginia,51,49.17,1.26
Washington,53,55.89,1.31
West Virginia,54,54.34,1.18
Wisconsin,55,52.21,1.14
Wyoming,56,46.57,1.1
