State,FIPS,Q3_r75_p,Q3_r75_p_se
"Total U.S., private sector",,47.99,0.45
Alabama,01,45.83,2.05
Alaska,02,45.52,1.64
Arizona,04,42.44,1.82
Arkansas,05,42.19,1.69
California,06,53.4,2.42
Colorado,08,44.46,1.87
Connecticut,09,48.4,1.84
Delaware,10,45.1,1.78
District of Columbia,11,39.81,1.81
Florida,12,44.79,2.05
Georgia,13,42.17,1.96
Hawaii,15,48.4,1.61
Idaho,16,38.25,1.72
Illinois,17,49.87,2.11
Indiana,18,42.15,1.75
Iowa,19,42.53,1.71
Kansas,20,42.77,1.73
Kentucky,21,45.62,1.84
Louisiana,22,52.33,2.34
Maine,23,48.03,1.77
Maryland,24,46.77,1.95
Massachusetts,25,51.72,2.38
Michigan,26,61.26,1.94
Minnesota,27,47.81,1.78
Mississippi,28,44.5,2.26
Missouri,29,45.35,2.0
Montana,30,41.05,1.65
Nebraska,31,37.42,1.77
Nevada,32,47.39,1.79
New Hampshire,33,47.21,1.97
New Jersey,34,55.58,1.9
New Mexico,35,44.68,1.62
New York,36,57.1,2.17
North Carolina,37,42.54,1.88
North Dakota,38,41.95,1.95
Ohio,39,46.73,1.86
Oklahoma,40,42.41,1.91
Oregon,41,44.23,1.64
Pennsylvania,42,55.21,1.95
Puerto Rico,72,72.61,1.55
Rhode Island,44,49.86,1.98
South Carolina,45,40.8,1.87
South Dakota,46,39.69,1.74
Tennessee,47,42.0,1.87
Texas,48,45.5,2.17
Utah,49,40.94,1.79
Vermont,50,54.83,1.51
Virginia,51,37.9,1.84
Washington,53,49.16,1.8
West Virginia,54,49.07,1.72
Wisconsin,55,44.85,1.66
Wyoming,56,36.56,1.65
